player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
CJ Miles,23.4,0.632,0.144,0.592,1.9,12.4,4.1,1.3,1.2,5.5,18.4,1.5,-2.1,3.7011078,26.933634,12.659868,IND,3
CJ Watson,16.3,0.423,0.266,0.507,1.7,8.1,16.1,2.1,0.2,14.5,14.1,-2.5,-1.1,1.63,1.040592,13.9365,ORL,2
Caris LeVert,21.7,0.484,0.245,0.556,2.0,13.9,13.7,1.9,0.5,12.3,16.6,-0.7,-0.4,0.595231,4.110414,22.443876,BRK,2
Carmelo Anthony,34.3,0.303,0.263,0.535,2.6,15.9,14.5,1.2,1.1,9.0,29.1,1.5,-2.2,3.7673748,9.479148,136.293794,NYK,5
Channing Frye,18.9,0.644,0.142,0.612,3.0,19.3,4.9,1.2,2.1,8.8,19.3,0.8,-1.5,2.05632,20.454336,5.257224,CLE,3
Chris Paul,31.5,0.385,0.331,0.614,2.5,14.9,46.8,3.1,0.3,14.0,24.4,7.8,1.0,0.8995455,1.53468,162.72711,LAC,11
Clint Capela,23.9,0.0,0.314,0.638,12.5,24.5,6.9,1.1,4.2,12.0,19.9,0.0,1.0,5.6881044,0.0,0.478,HOU,4
Cody Zeller,27.8,0.002,0.442,0.604,8.6,17.3,9.1,1.8,3.0,10.9,15.5,-0.2,2.3,7.1960856,0.0,3.136118,CHO,4
Corey Brewer,15.6,0.339,0.195,0.491,2.7,11.5,10.7,2.3,1.2,12.7,14.3,-2.9,0.2,0.576576,1.46016,2.45856,TOT,2
Cory Joseph,25.0,0.204,0.185,0.518,2.9,10.4,20.0,1.7,0.6,13.1,18.4,-0.4,-0.4,3.1746,2.093,30.9445,TOR,2
Courtney Lee,31.9,0.382,0.139,0.559,2.3,9.1,10.6,1.6,0.8,8.5,14.4,0.5,-0.7,2.7187732,12.804022,49.45776,NYK,7
Cristiano Felicio,15.8,0.0,0.419,0.601,12.8,19.5,5.7,1.2,1.2,11.2,12.4,-0.6,0.5,3.5886382,0.0,0.982128,CHI,0
D'Angelo Russell,28.7,0.443,0.217,0.518,1.8,11.9,26.8,2.3,0.7,15.6,26.6,1.1,-1.6,1.0872708,7.167251,81.211816,LAL,8
DJ Augustin,19.7,0.53,0.311,0.524,1.0,7.4,20.4,1.0,0.1,13.3,19.4,-0.9,-3.3,4.3734,4.069823,23.699888,ORL,2
Damian Lillard,35.9,0.388,0.366,0.586,1.9,13.3,28.7,1.3,0.6,10.2,31.5,6.4,-2.0,3.2384313,5.557679,148.121605,POR,5
Danilo Gallinari,33.9,0.432,0.516,0.622,2.0,14.7,9.1,0.9,0.5,8.1,19.9,2.9,-2.1,2.9842848,20.388816,39.363324,DEN,3
Danny Green,26.6,0.693,0.071,0.537,2.0,11.8,9.6,2.0,2.6,14.1,13.5,-0.3,2.7,2.1569408,23.895312,14.894138,SAS,6
Dante Cunningham,25.0,0.504,0.075,0.586,3.6,14.2,3.1,1.2,1.4,7.0,10.7,-1.3,0.8,2.363375,12.879,0.96,NOP,9
Dante Exum,18.6,0.41,0.201,0.521,2.9,9.3,14.2,0.9,0.8,16.8,18.1,-2.0,-0.5,3.3201,4.22592,1.812384,UTA,2
Dario Saric,26.3,0.368,0.237,0.508,5.8,20.8,14.3,1.3,1.1,15.2,24.6,-2.0,-0.2,4.0440984,9.701544,14.742465,PHI,7
